financial_year,state,fertilizer_type,sales_current,sales_lag_1,requirement_current,requirement_lag_1,availability_current,availability_lag_1,iffco_production_current,iffco_production_lag_1,iffco_production_available,potential_reporting_break,target_sales
2015-16,Nagaland,urea,0.01,0.01,0.02,0.02,0.01,0.01,,,False,0,0.0
2015-16,Odisha,dap,1.64,1.47,2.4,1.6,1.72,1.49,,,False,0,1.65
2015-16,Odisha,mop,0.89,0.9,1.6,1.25,0.89,0.94,,,False,0,0.96
2015-16,Odisha,npks,2.52,2.29,3.8,3.25,2.67,2.33,,,False,0,1.94
2015-16,Odisha,urea,5.87,5.04,6.6,6.0,6.1,5.06,,,False,0,4.93
2015-16,Puducherry,dap,0.01,0.01,0.02,0.02,0.01,0.02,,,False,0,0.02
2015-16,Puducherry,mop,0.02,0.02,0.03,0.03,0.02,0.03,,,False,0,0.02
2015-16,Puducherry,npks,0.06,0.06,0.12,0.1,0.06,0.07,,,False,0,0.06
2015-16,Puducherry,urea,0.13,0.15,0.22,0.22,0.13,0.15,,,False,0,0.11
2015-16,Punjab,dap,8.1,7.15,9.0,9.0,8.49,7.36,,,False,0,7.35
2015-16,Punjab,mop,0.53,0.65,0.63,0.5,0.61,0.75,,,False,0,0.75
2015-16,Punjab,npks,0.42,0.45,0.35,0.45,0.45,0.46,,,False,0,0.39
2015-16,Punjab,urea,30.86,27.34,26.5,24.8,31.52,27.35,,,False,0,26.1
2015-16,Rajasthan,dap,7.9,5.66,6.75,5.0,8.0,5.71,,,False,0,6.45
2015-16,Rajasthan,mop,0.15,0.12,0.16,0.16,0.15,0.16,,,False,0,0.17
2015-16,Rajasthan,npks,0.68,0.66,0.95,0.96,0.74,0.68,,,False,0,0.59
2015-16,Rajasthan,urea,20.77,18.47,19.25,18.5,20.96,18.49,,,False,0,19.95
2015-16,Sikkim,dap,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2015-16,Sikkim,mop,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2015-16,Sikkim,npks,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2015-16,Sikkim,urea,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2015-16,Tamil Nadu,dap,3.01,2.38,3.5,3.75,3.03,2.42,,,False,0,2.53
2015-16,Tamil Nadu,mop,2.97,2.93,4.0,4.0,3.01,3.01,,,False,0,2.63
2015-16,Tamil Nadu,npks,6.01,5.16,6.5,6.5,6.19,5.37,,,False,0,5.3
2015-16,Tamil Nadu,urea,11.17,9.9,10.5,10.0,11.41,9.9,,,False,0,7.94
2015-16,Telangana,dap,2.12,1.65,3.5,3.23,2.2,1.68,,,False,0,2.43
2015-16,Telangana,mop,1.0,1.08,1.75,1.31,1.06,1.17,,,False,0,1.74
2015-16,Telangana,npks,8.53,7.59,9.5,7.66,8.77,7.83,,,False,0,9.64
2015-16,Telangana,urea,12.56,12.36,14.29,14.23,13.35,12.47,,,False,0,15.49
2015-16,Tripura,dap,0.01,0.0,0.05,0.06,0.01,0.0,,,False,0,0.02
2015-16,Tripura,mop,0.05,0.03,0.14,0.14,0.05,0.03,,,False,0,0.09
2015-16,Tripura,npks,0.0,0.01,0.0,0.03,0.01,0.01,,,False,0,0.01
2015-16,Tripura,urea,0.24,0.22,0.35,0.35,0.26,0.22,,,False,0,0.29
2015-16,Uttar Pradesh,dap,21.8,16.17,19.5,19.5,22.43,16.84,,,False,0,20.08
2015-16,Uttar Pradesh,mop,2.19,2.04,2.0,1.75,2.28,2.36,,,False,0,2.75
2015-16,Uttar Pradesh,npks,6.9,6.29,10.5,9.0,7.3,6.57,,,False,0,5.09
2015-16,Uttar Pradesh,urea,57.99,62.54,59.47,62.0,60.13,63.14,40.68,35.300000000000004,True,0,54.96
2015-16,Uttarakhand,dap,0.31,0.26,0.4,0.35,0.32,0.26,,,False,0,0.35
2015-16,Uttarakhand,mop,0.03,0.02,0.09,0.05,0.03,0.02,,,False,0,0.05
2015-16,Uttarakhand,npks,0.32,0.39,0.5,0.5,0.35,0.42,,,False,0,0.32
2015-16,Uttarakhand,urea,3.6,2.8,2.45,2.5,3.71,2.82,,,False,0,3.54
