forecast_year,state,fertilizer_type,sales_2024_25,predicted_sales,forecast_method,forecast_basis
2025-26,Tripura,dap,0.02,0.02,Naive Persistence,2024-25 sales
2025-26,Tripura,mop,0.04,0.04,Naive Persistence,2024-25 sales
2025-26,Tripura,npks,0.03,0.03,Naive Persistence,2024-25 sales
2025-26,Tripura,urea,0.17,0.17,Naive Persistence,2024-25 sales
2025-26,Uttar Pradesh,dap,0.4,0.4,Naive Persistence,2024-25 sales
2025-26,Uttar Pradesh,mop,0.04,0.04,Naive Persistence,2024-25 sales
2025-26,Uttar Pradesh,npks,0.21,0.21,Naive Persistence,2024-25 sales
2025-26,Uttar Pradesh,urea,2.31,2.31,Naive Persistence,2024-25 sales
2025-26,Uttarakhand,dap,19.51,19.51,Naive Persistence,2024-25 sales
2025-26,Uttarakhand,mop,1.76,1.76,Naive Persistence,2024-25 sales
2025-26,Uttarakhand,npks,10.5,10.5,Naive Persistence,2024-25 sales
2025-26,Uttarakhand,urea,79.18,79.18,Naive Persistence,2024-25 sales
2025-26,West Bengal,dap,3.12,3.12,Naive Persistence,2024-25 sales
2025-26,West Bengal,mop,2.57,2.57,Naive Persistence,2024-25 sales
2025-26,West Bengal,npks,12.24,12.24,Naive Persistence,2024-25 sales
2025-26,West Bengal,urea,15.77,15.77,Naive Persistence,2024-25 sales
